sku_id,equipment_name,equipment_category,unit_cost,supplier,lead_time_days,popularity_factor
SKU-025,HMI Light 1200W,Lighting,1345.39,Meridian Camera Systems,11,1.074
SKU-026,HMI Light 4000W,Lighting,10097.79,Summit Equipment Partners,6,1.082
SKU-027,Softbox Kit A,Lighting,10132.55,Pacific Audio Works,8,1.257
SKU-028,Ring Light A,Lighting,2921.11,Apex Grip & Lighting Supply,7,0.826
SKU-029,Practical Light Kit A,Lighting,10974.21,Pacific Audio Works,10,0.791
SKU-030,Light Stand Kit A,Lighting,7765.15,Apex Grip & Lighting Supply,12,1.25
SKU-031,Dimmer/Board Controller A,Lighting,6969.27,Pacific Audio Works,6,0.809
SKU-032,Shotgun Microphone A,Audio,3225.36,Pacific Audio Works,8,0.485
SKU-033,Lavalier Mic Kit A,Audio,766.43,Northline Rentals Wholesale,7,1.221
SKU-034,Boom Pole Kit A,Audio,3558.59,Meridian Camera Systems,7,1.915
SKU-035,Field Audio Recorder A,Audio,3938.0,Coastal Cine Supply,6,0.627
SKU-036,Wireless Mic System A,Audio,1506.76,Apex Grip & Lighting Supply,5,0.844
SKU-037,Wireless Mic System B,Audio,2387.73,Meridian Camera Systems,9,1.243
SKU-038,Audio Mixer A,Audio,2980.25,Meridian Camera Systems,8,0.485
SKU-039,Studio Headphones Kit A,Audio,3840.89,Coastal Cine Supply,7,1.123
SKU-040,Boom Pole Kit B,Audio,3211.08,Summit Equipment Partners,5,0.887
SKU-041,C-Stand Kit A,Grip,344.89,Pacific Audio Works,6,1.116
SKU-042,Sandbag Set A,Grip,1532.57,Meridian Camera Systems,3,1.195
SKU-043,Dolly Track Kit A,Grip,399.87,Summit Equipment Partners,3,0.726
SKU-044,Camera Dolly A,Grip,2782.85,Summit Equipment Partners,7,0.502
SKU-045,Grip Arm Kit A,Grip,1813.65,Apex Grip & Lighting Supply,3,0.479
SKU-046,Apple Box Set A,Grip,1498.68,Coastal Cine Supply,4,1.521
SKU-047,Flag/Scrim Kit A,Grip,1511.31,Pacific Audio Works,6,1.23
SKU-048,Gimbal Stabilizer A,Grip,1758.01,Pacific Audio Works,5,1.143
SKU-049,Tripod Head A,Grip,1061.55,Summit Equipment Partners,5,0.736
SKU-050,Slider Rig A,Grip,162.68,Coastal Cine Supply,4,1.082
SKU-051,V-Mount Battery A,Battery,113.11,Summit Equipment Partners,3,0.433
SKU-052,V-Mount Battery B,Battery,352.51,Meridian Camera Systems,2,1.151
SKU-053,Gold-Mount Battery A,Battery,377.15,Coastal Cine Supply,5,1.635
SKU-054,Battery Charger Station A,Battery,462.21,Meridian Camera Systems,5,0.617
SKU-055,Portable Power Station A,Battery,299.68,Pacific Audio Works,4,0.663
SKU-056,V-Mount Battery C,Battery,413.71,Meridian Camera Systems,5,1.593
SKU-057,Gold-Mount Battery B,Battery,180.91,Summit Equipment Partners,4,0.98
SKU-058,Battery Distribution Block A,Battery,471.22,Apex Grip & Lighting Supply,2,0.797
SKU-059,On-Camera Monitor 7in,Monitor,3763.23,Northline Rentals Wholesale,12,1.09
SKU-060,On-Camera Monitor 5in,Monitor,6114.56,Northline Rentals Wholesale,11,0.942
SKU-061,Director Monitor 17in,Monitor,4391.44,Meridian Camera Systems,8,1.116
SKU-062,Video Village Monitor Kit A,Monitor,5462.46,Pacific Audio Works,8,1.239
SKU-063,Waveform Monitor A,Monitor,6100.92,Meridian Camera Systems,8,0.542
SKU-064,Field Monitor 10in,Monitor,2307.28,Apex Grip & Lighting Supply,5,2.367
SKU-065,Teleprompter Monitor A,Monitor,1649.63,Meridian Camera Systems,10,2.077
SKU-066,Client Viewing Monitor A,Monitor,7059.22,Meridian Camera Systems,5,0.639
SKU-067,Cinema Drone A,Drone,15770.69,Northline Rentals Wholesale,13,0.997
SKU-068,Cinema Drone B,Drone,3734.05,Apex Grip & Lighting Supply,21,2.021
SKU-069,Compact Drone A,Drone,3504.62,Coastal Cine Supply,10,0.359
SKU-070,FPV Drone Kit A,Drone,10620.27,Coastal Cine Supply,21,0.544
SKU-071,Cinema Drone C,Drone,4795.74,Coastal Cine Supply,20,1.581
SKU-072,FPV Drone Kit B,Drone,15040.7,Apex Grip & Lighting Supply,19,0.785
SKU-073,Drone Battery Kit A,Drone,6718.03,Pacific Audio Works,11,1.309
SKU-074,Drone Controller Kit A,Drone,19156.84,Meridian Camera Systems,16,0.706
SKU-075,Compact Drone B,Drone,1472.33,Summit Equipment Partners,17,1.092
